//ShopTab,ITEMType,Slot
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_AA_B_RARE,4
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_AA_C_RARE,22
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_BA_B_RARE,2
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_BA_C_RARE,20
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_FA_B_RARE,5
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_FA_C_RARE,23
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_HA_B_RARE,0
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_HA_C_RARE,18
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_LA_B_RARE,3
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_LA_C_RARE,21
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_SA_B_RARE,1
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_01_SA_C_RARE,19
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_AA_B_RARE,10
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_AA_C_RARE,28
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_BA_B_RARE,8
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_BA_C_RARE,26
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_FA_B_RARE,11
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_FA_C_RARE,29
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_HA_B_RARE,6
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_HA_C_RARE,24
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_LA_B_RARE,9
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_LA_C_RARE,27
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_SA_B_RARE,7
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_02_SA_C_RARE,25
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_AA_B_RARE,16
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_AA_C_RARE,34
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_BA_B_RARE,14
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_BA_C_RARE,32
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_FA_B_RARE,17
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_FA_C_RARE,35
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_HA_B_RARE,12
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_HA_C_RARE,30
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_LA_B_RARE,15
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_LA_C_RARE,33
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_SA_B_RARE,13
LEVEL_CH_ARMOR1_TAB2,ITEM_EVENT_CH_M_LIGHT_03_SA_C_RARE,31
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_AA_B_RARE,4
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_AA_C_RARE,22
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_BA_B_RARE,2
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_BA_C_RARE,20
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_FA_B_RARE,5
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_FA_C_RARE,23
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_HA_B_RARE,0
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_HA_C_RARE,18
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_LA_B_RARE,3
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_LA_C_RARE,21
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_SA_B_RARE,1
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_01_SA_C_RARE,19
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_AA_B_RARE,10
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_AA_C_RARE,28
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_BA_B_RARE,8
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_BA_C_RARE,26
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_FA_B_RARE,11
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_FA_C_RARE,29
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_HA_B_RARE,6
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_HA_C_RARE,24
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_LA_B_RARE,9
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_LA_C_RARE,27
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_SA_B_RARE,7
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_02_SA_C_RARE,25
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_AA_B_RARE,16
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_AA_C_RARE,34
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_BA_B_RARE,14
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_BA_C_RARE,32
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_FA_B_RARE,17
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_FA_C_RARE,35
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_HA_B_RARE,12
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_HA_C_RARE,30
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_LA_B_RARE,15
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_LA_C_RARE,33
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_SA_B_RARE,13
LEVEL_CH_ARMOR1_TAB3,ITEM_EVENT_CH_M_CLOTHES_03_SA_C_RARE,31
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_AA_B_RARE,4
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_AA_C_RARE,22
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_BA_B_RARE,2
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_BA_C_RARE,20
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_FA_B_RARE,5
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_FA_C_RARE,23
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_HA_B_RARE,0
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_HA_C_RARE,18
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_LA_B_RARE,3
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_LA_C_RARE,21
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_SA_B_RARE,1
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_01_SA_C_RARE,19
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_AA_B_RARE,10
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_AA_C_RARE,28
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_BA_B_RARE,8
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_BA_C_RARE,26
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_FA_B_RARE,11
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_FA_C_RARE,29
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_HA_B_RARE,6
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_HA_C_RARE,24
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_LA_B_RARE,9
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_LA_C_RARE,27
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_SA_B_RARE,7
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_02_SA_C_RARE,25
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_AA_B_RARE,16
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_AA_C_RARE,34
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_BA_B_RARE,14
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_BA_C_RARE,32
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_FA_B_RARE,17
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_FA_C_RARE,35
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_HA_B_RARE,12
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_HA_C_RARE,30
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_LA_B_RARE,15
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_LA_C_RARE,33
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_SA_B_RARE,13
LEVEL_CH_ARMOR1_TAB4,ITEM_EVENT_CH_W_HEAVY_03_SA_C_RARE,31
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_AA_B_RARE,4
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_AA_C_RARE,22
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_BA_B_RARE,2
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_BA_C_RARE,20
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_FA_B_RARE,5
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_FA_C_RARE,23
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_HA_B_RARE,0
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_HA_C_RARE,18
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_LA_B_RARE,3
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_LA_C_RARE,21
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_SA_B_RARE,1
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_01_SA_C_RARE,19
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_AA_B_RARE,10
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_AA_C_RARE,28
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_BA_B_RARE,8
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_BA_C_RARE,26
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_FA_B_RARE,11
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_FA_C_RARE,29
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_HA_B_RARE,6
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_HA_C_RARE,24
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_LA_B_RARE,9
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_LA_C_RARE,27
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_SA_B_RARE,7
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_02_SA_C_RARE,25
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_AA_B_RARE,16
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_AA_C_RARE,34
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_BA_B_RARE,14
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_BA_C_RARE,32
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_FA_B_RARE,17
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_FA_C_RARE,35
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_HA_B_RARE,12
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_HA_C_RARE,30
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_LA_B_RARE,15
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_LA_C_RARE,33
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_SA_B_RARE,13
LEVEL_CH_ARMOR1_TAB5,ITEM_EVENT_CH_W_LIGHT_03_SA_C_RARE,31
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_AA_B_RARE,4
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_AA_C_RARE,22
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_BA_B_RARE,2
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_BA_C_RARE,20
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_FA_B_RARE,5
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_FA_C_RARE,23
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_HA_B_RARE,0
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_HA_C_RARE,18
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_LA_B_RARE,3
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_LA_C_RARE,21
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_SA_B_RARE,1
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_01_SA_C_RARE,19
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_AA_B_RARE,10
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_AA_C_RARE,28
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_BA_B_RARE,8
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_BA_C_RARE,26
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_FA_B_RARE,11
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_FA_C_RARE,29
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_HA_B_RARE,6
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_HA_C_RARE,24
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_LA_B_RARE,9
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_LA_C_RARE,27
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_SA_B_RARE,7
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_02_SA_C_RARE,25
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_AA_B_RARE,16
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_AA_C_RARE,34
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_BA_B_RARE,14
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_BA_C_RARE,32
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_FA_B_RARE,17
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_FA_C_RARE,35
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_HA_B_RARE,12
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_HA_C_RARE,30
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_LA_B_RARE,15
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_LA_C_RARE,33
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_SA_B_RARE,13
LEVEL_CH_ARMOR1_TAB6,ITEM_EVENT_CH_W_CLOTHES_03_SA_C_RARE,31
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_AA_B_RARE,4
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_AA_C_RARE,16
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_BA_B_RARE,2
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_BA_C_RARE,14
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_FA_B_RARE,5
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_FA_C_RARE,17
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_HA_B_RARE,0
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_HA_C_RARE,12
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_LA_B_RARE,3
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_LA_C_RARE,15
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_SA_B_RARE,1
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_04_SA_C_RARE,13
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_AA_B_RARE,10
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_AA_C_RARE,22
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_BA_B_RARE,8
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_BA_C_RARE,20
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_FA_B_RARE,11
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_FA_C_RARE,23
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_HA_B_RARE,6
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_HA_C_RARE,18
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_LA_B_RARE,9
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_LA_C_RARE,21
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_SA_B_RARE,7
LEVEL_CH_ARMOR2_TAB1,ITEM_EVENT_CH_M_HEAVY_05_SA_C_RARE,19
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_AA_B_RARE,4
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_AA_C_RARE,16
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_BA_B_RARE,2
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_BA_C_RARE,14
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_FA_B_RARE,5
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_FA_C_RARE,17
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_HA_B_RARE,0
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_HA_C_RARE,12
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_LA_B_RARE,3
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_LA_C_RARE,15
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_SA_B_RARE,1
LEVEL_CH_ARMOR2_TAB2,ITEM_EVENT_CH_M_LIGHT_04_SA_C_RARE,13
